ts,host,soc,os,model,rep,num_thread,num_ctx,num_predict,prompt_tokens,gen_tokens,prompt_sec,gen_sec,ttft_sec,total_sec,prompt_tps,gen_tps,proc_rss_mb,proc_hwm_mb,sys_mem_avail_mb,cpu_temp_c
2025-10-07_03:36:52,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,2,4,512,64,512,64,13.2907,12.5684,25.9884,25.9344,38.52,5.09,184,187,6652,79.3
2025-10-07_03:37:19,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,3,4,512,64,512,64,13.4472,11.9804,25.5644,25.5074,38.07,5.34,187,187,6648,80.3
2025-10-07_03:37:59,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,1,4,512,128,512,128,13.4463,23.3179,36.8972,36.8432,38.08,5.49,183,187,6646,79.8
2025-10-07_03:38:38,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,2,4,512,128,512,128,13.4688,23.3825,36.9811,36.9272,38.01,5.47,183,187,6648,78.8
2025-10-07_03:39:19,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,3,4,512,128,512,128,13.6177,25.2585,39.0078,38.9538,37.60,5.07,183,187,6650,78.8
2025-10-07_03:40:00,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,1,4,1024,32,1024,32,30.7184,6.3726,38.9614,38.8842,33.34,5.02,182,187,6635,78.8
2025-10-07_03:40:40,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,2,4,1024,32,1024,32,30.9220,6.3487,37.4296,37.3521,33.12,5.04,185,187,6631,81.3
2025-10-07_03:41:20,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,3,4,1024,32,1024,32,31.3775,6.3148,37.8447,37.7707,32.63,5.07,182,187,6634,80.3
2025-10-07_03:42:06,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,1,4,1024,64,1024,64,31.2803,12.9269,44.3615,44.2849,32.74,4.95,187,187,6625,80.3
2025-10-07_03:42:54,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,2,4,1024,64,1024,64,31.2470,14.0978,45.4953,45.4194,32.77,4.54,187,187,6625,80.8
2025-10-07_03:43:41,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,3,4,1024,64,1024,64,31.3154,13.0958,44.5593,44.4858,32.70,4.89,184,187,6625,80.8
2025-10-07_03:44:40,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,1,4,1024,128,1024,128,31.3042,25.5046,56.9594,56.8853,32.71,5.02,184,187,6622,81.3
2025-10-07_03:45:39,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,2,4,1024,128,1024,128,31.4371,25.7405,57.3332,57.2543,32.57,4.97,187,187,6621,79.8
2025-10-07_03:46:43,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,3,4,1024,128,1024,128,31.4718,30.1516,61.7747,61.6992,32.54,4.25,184,187,6625,80.3
2025-10-07_03:48:09,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,1,4,2048,32,2048,32,73.8946,7.2434,83.0542,82.9376,27.72,4.42,184,187,6590,79.8
2025-10-07_03:49:33,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,2,4,2048,32,2048,32,74.6979,7.1999,82.1015,81.9816,27.42,4.44,187,187,6582,80.3
2025-10-07_03:52:30,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,1,4,2048,64,2048,64,74.6614,15.5730,90.4355,90.3116,27.43,4.11,187,187,6577,80.8
2025-10-07_03:54:02,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,2,4,2048,64,2048,64,74.9890,14.2712,89.4548,89.3382,27.31,4.48,187,187,6581,81.8
2025-10-07_03:55:35,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,3,4,2048,64,2048,64,74.8961,15.4687,90.5641,90.4417,27.34,4.14,184,187,6582,80.8
2025-10-07_03:57:20,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,1,4,2048,128,2048,128,74.7982,28.5707,103.5669,103.4479,27.38,4.48,187,187,6579,80.8
