ts,host,soc,os,model,rep,num_thread,num_ctx,num_predict,prompt_tokens,gen_tokens,prompt_sec,gen_sec,ttft_sec,total_sec,prompt_tps,gen_tps,proc_rss_mb,proc_hwm_mb,sys_mem_avail_mb,cpu_temp_c
2025-10-07_21:14:41,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,3,2,4096,32,659,32,11.9407,2.6071,15.7040,15.6687,55.19,12.27,190,197,7181,70.6
2025-10-07_21:15:01,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,1,2,4096,64,659,64,11.8532,5.3288,18.3444,18.3077,55.60,12.01,191,197,7188,70.6
2025-10-07_21:15:22,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,2,2,4096,64,659,64,11.7274,5.2799,18.1670,18.1309,56.19,12.12,193,197,7189,72.0
2025-10-07_21:15:42,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,3,2,4096,64,659,64,11.7970,5.3347,18.2919,18.2546,55.86,12.00,192,197,7179,70.6
2025-10-07_21:16:08,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,1,2,4096,128,659,128,11.8566,10.7779,23.8062,23.7690,55.58,11.88,194,197,7196,71.5
2025-10-07_21:16:34,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,2,2,4096,128,659,128,11.7614,10.7524,23.6700,23.6333,56.03,11.90,191,197,7199,72.5
2025-10-07_21:17:00,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,3,2,4096,128,659,128,11.7298,10.7761,23.6637,23.6260,56.18,11.88,191,197,7199,72.0
2025-10-07_21:17:06,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,1,4,512,32,59,32,0.5223,2.6044,4.2868,4.2542,112.96,12.29,191,197,7202,72.0
2025-10-07_21:17:13,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,2,4,512,32,59,32,0.5602,2.6707,4.3861,4.3548,105.32,11.98,194,197,7145,71.1
2025-10-07_21:17:19,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,3,4,512,32,59,32,0.5426,2.6173,4.3125,4.2811,108.74,12.23,190,197,7177,70.6
2025-10-07_21:17:28,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,1,4,512,64,59,64,0.5250,5.3968,7.0775,7.0449,112.38,11.86,191,197,7174,70.6
2025-10-07_21:17:38,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,2,4,512,64,59,64,0.5160,5.3773,7.0523,7.0199,114.34,11.90,194,197,7188,71.1
2025-10-07_21:17:47,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,3,4,512,64,59,64,0.5282,5.3487,7.0318,6.9999,111.70,11.97,191,197,7190,71.5
2025-10-07_21:18:02,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,1,4,512,128,59,128,0.5489,10.9637,12.6661,12.6316,107.49,11.67,192,197,7184,73.0
2025-10-07_21:18:17,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,2,4,512,128,59,128,0.5538,11.0015,12.7134,12.6808,106.54,11.63,194,197,7195,73.5
2025-10-07_21:18:31,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,3,4,512,128,59,128,0.5233,10.8058,12.4920,12.4578,112.75,11.85,193,197,7196,73.5
2025-10-07_21:18:38,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,1,4,1024,32,130,32,1.1469,2.6417,4.9440,4.9075,113.35,12.11,190,197,7087,72.5
2025-10-07_21:18:46,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,2,4,1024,32,130,32,1.1511,2.7768,5.0792,5.0468,112.94,11.52,193,197,7171,72.0
2025-10-07_21:18:53,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,3,4,1024,32,130,32,1.1448,2.6466,4.9495,4.9174,113.56,12.09,194,197,7075,71.5
2025-10-07_21:19:03,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,1,4,1024,64,130,64,1.1473,5.4424,7.7443,7.7120,113.31,11.76,190,197,7181,72.5
2025-10-07_21:19:13,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,2,4,1024,64,130,64,1.1762,5.4995,7.8289,7.7957,110.53,11.64,194,197,7190,73.0
2025-10-07_21:19:23,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,3,4,1024,64,130,64,1.1954,5.6778,8.0423,8.0058,108.75,11.27,190,197,7196,73.0
2025-10-07_21:19:38,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,1,4,1024,128,130,128,1.1741,11.1822,13.5226,13.4889,110.72,11.45,194,197,7178,73.5
2025-10-07_21:19:55,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,2,4,1024,128,130,128,1.2255,11.6423,14.0356,13.9997,106.08,10.99,192,197,7197,74.0
2025-10-07_21:20:10,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,3,4,1024,128,130,128,1.1554,11.1429,13.4606,13.4251,112.52,11.49,194,197,7191,74.5
2025-10-07_21:20:19,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,1,4,2048,32,312,32,2.9695,2.7477,6.8762,6.8403,105.07,11.65,192,197,7195,75.0
2025-10-07_21:20:28,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,2,4,2048,32,312,32,2.9421,2.6836,6.7851,6.7519,106.05,11.92,191,197,7183,74.5
2025-10-07_21:20:37,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,3,4,2048,32,312,32,2.8932,2.8185,6.8654,6.8326,107.84,11.35,193,197,7113,74.5
2025-10-07_21:20:49,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,1,4,2048,64,312,64,2.9484,5.7211,9.8279,9.7935,105.82,11.19,190,197,7188,75.4
2025-10-07_21:21:01,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,2,4,2048,64,312,64,2.9277,5.7718,9.8542,9.8198,106.57,11.09,194,197,7151,75.4
2025-10-07_21:21:13,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,3,4,2048,64,312,64,2.9343,5.6937,9.7822,9.7476,106.33,11.24,192,197,7192,75.9
2025-10-07_21:21:31,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,1,4,2048,128,312,128,2.9173,11.7150,15.7955,15.7583,106.95,10.93,194,197,7194,75.9
2025-10-07_21:21:49,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,2,4,2048,128,312,128,3.0103,11.8091,15.9802,15.9455,103.64,10.84,191,197,7196,75.9
2025-10-07_21:22:07,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,3,4,2048,128,312,128,2.9775,11.4404,15.5782,15.5437,104.79,11.19,193,197,7197,76.4
2025-10-07_21:22:20,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,1,4,4096,32,659,32,6.8411,3.0476,11.0492,11.0130,96.33,10.50,192,197,7202,78.4
2025-10-07_21:22:33,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,2,4,4096,32,659,32,6.7974,2.8880,10.8479,10.8119,96.95,11.08,194,197,7193,78.8
2025-10-07_21:22:47,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,3,4,4096,32,659,32,6.8776,2.9836,11.0283,10.9919,95.82,10.73,190,197,7177,79.8
2025-10-07_21:23:03,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,1,4,4096,64,659,64,6.9752,5.8127,13.9568,13.9198,94.48,11.01,194,197,7190,78.4
2025-10-07_21:23:19,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,2,4,4096,64,659,64,6.8906,5.9215,13.9737,13.9362,95.64,10.81,191,197,7199,78.4
2025-10-07_21:23:35,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,3,4,4096,64,659,64,6.8908,5.8326,13.8899,13.8525,95.63,10.97,194,197,7193,79.3
2025-10-07_21:23:57,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,1,4,4096,128,659,128,6.8815,11.9963,20.0394,20.0012,95.76,10.67,191,197,7192,79.3
2025-10-07_21:24:19,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,2,4,4096,128,659,128,6.8998,11.9917,20.0497,20.0133,95.51,10.67,192,197,7191,78.8
2025-10-07_21:24:42,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-f16,3,4,4096,128,659,128,6.9463,11.8283,19.9415,19.9042,94.87,10.82,194,197,7191,78.4
2025-10-07_21:24:50,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,1,2,512,32,59,32,2.6850,2.3610,6.2088,6.1757,21.97,13.55,190,197,7191,75.9
2025-10-07_21:24:58,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,2,2,512,32,59,32,2.6825,2.3683,6.2168,6.1837,21.99,13.51,193,197,7122,75.0
2025-10-07_21:25:07,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,3,2,512,32,59,32,2.6767,2.3768,6.2146,6.1786,22.04,13.46,194,197,7100,75.0
2025-10-07_21:25:18,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,1,2,512,64,59,64,2.6926,4.8228,8.6726,8.6402,21.91,13.27,190,197,7124,74.5
2025-10-07_21:25:28,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,2,2,512,64,59,64,2.7193,4.8256,8.7087,8.6773,21.70,13.26,194,197,7161,74.5
2025-10-07_21:25:39,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,3,2,512,64,59,64,2.7245,4.8286,8.7270,8.6921,21.66,13.25,192,197,7143,74.5
